Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-14,NOR,Norway,Møre og Romsdal,62.543569,8.540539,1912,,,1912,,,False,True,NO053
2021-05-14,NOR,Norway,Nordland,66.679716,14.635752,1517,,,1517,,,False,True,NO071
2021-05-14,NOR,Norway,NOT SPECIFIED,,,,774,,-774,4339,831,False,True,
2021-05-14,NOR,Norway,Oslo,59.979683,10.738335,34641,,,34641,,,False,True,NO011
2020-03-31,NOR,Norway,Outside mainland Norway,,,1,0,0,1,0,0,False,True,
2021-05-14,NOR,Norway,Rogaland,58.58709,6.206792,6308,,,6308,,,False,True,NO043
2021-05-14,NOR,Norway,Troms og Finnmark,70.239335,26.12935,1589,,,1589,,,False,True,NO072
2021-05-14,NOR,Norway,Trøndelag,63.421183,11.529951,4053,,,4053,,,False,True,NO06
2021-05-14,NOR,Norway,Vestfold og Telemark,59.493612,8.722188,7194,,,7194,,,False,True,NO033
2021-05-14,NOR,Norway,Vestland,60.952729,6.513828,9415,,,9415,,,False,True,NO05
2021-05-14,NOR,Norway,Viken,60.020274,9.849655,40984,,,40984,,,False,True,NO012
2021-05-15,POL,Poland,NOT SPECIFIED,,,2851911,71609,2595635,184667,,,True,True,
2021-05-14,PRT,Portugal,Açores,37.775525,-25.494927,5010,31,,4979,,,True,True,PT20
2021-05-14,PRT,Portugal,Alentejo,38.485499,-8.006668,29952,971,,28981,,,True,True,PT18
2021-05-14,PRT,Portugal,Algarve,37.218389,-8.198488,21972,362,,21610,,,True,True,PT15
2021-05-14,PRT,Portugal,Centro,40.111812,-8.012768,119199,3016,,116183,,,True,True,PT16
2020-03-27,PRT,Portugal,Estrageiro,,,21,0,0,21,0,0,True,True,
2021-05-14,PRT,Portugal,Lisbon,38.623843,-8.88436,317789,7204,,310585,,,True,True,PT17
2021-05-14,PRT,Portugal,Madeira,32.736252,-16.972663,9423,68,,9355,,,True,True,PT30
2021-05-14,PRT,Portugal,Norte,41.457206,-7.678153,338034,5347,,332687,,,True,True,PT11
2021-05-14,PRT,Portugal,NOT SPECIFIED,,,,,802285,-802285,236,72,True,True,
2021-05-15,ROU,Romania,Alba,46.172367,23.487279,20971,,,20971,,,True,True,RO121
2021-05-15,ROU,Romania,Arad,46.273235,21.758454,23503,,,23503,,,True,True,RO421
2021-05-15,ROU,Romania,Argeș,45.072253,24.814273,27072,,,27072,,,True,True,RO311
2021-05-15,ROU,Romania,Bacău,46.42171,26.773519,25910,,,25910,,,True,True,RO211
2021-05-15,ROU,Romania,Bihor,46.942178,22.210795,28920,,,28920,,,True,True,RO111
2021-05-15,ROU,Romania,Bistrița-Năsăud,47.237306,24.522034,11781,,,11781,,,True,True,RO112
2021-05-15,ROU,Romania,Botoșani,47.85927,26.763139,14046,,,14046,,,True,True,RO212
2021-05-15,ROU,Romania,Brăila,45.0878,27.673222,13163,,,13163,,,True,True,RO221
2021-05-15,ROU,Romania,Brașov,45.765228,25.302188,43346,,,43346,,,True,True,RO122
2021-05-15,ROU,Romania,București,44.442674,26.08861,182400,,,182400,,,True,True,RO321
2021-05-15,ROU,Romania,Buzău,45.245475,26.750309,12445,,,12445,,,True,True,RO222
2021-05-15,ROU,Romania,Călărași,44.313456,27.020712,9975,,,9975,,,True,True,RO312
2021-05-15,ROU,Romania,Caraș-Severin,45.150492,22.042977,11274,,,11274,,,True,True,RO422
2021-05-15,ROU,Romania,Cluj,46.812237,23.53594,57041,,,57041,,,True,True,RO113
2021-05-15,ROU,Romania,Costanza,44.244926,28.247767,42659,,,42659,,,True,True,RO223
2021-05-15,ROU,Romania,Covasna,45.938093,25.990767,8452,,,8452,,,True,True,RO123
2021-05-15,ROU,Romania,Dâmbovița,44.864944,25.496775,22355,,,22355,,,True,True,RO313
2021-05-15,ROU,Romania,Dolj,44.140792,23.613526,26436,,,26436,,,True,True,RO411
2021-05-15,ROU,Romania,Galați,45.792748,27.75769,27370,,,27370,,,True,True,RO224
2021-05-15,ROU,Romania,Giurgiu,44.144127,25.881413,10932,,,10932,,,True,True,RO314
2021-05-15,ROU,Romania,Gorj,45.004246,23.322863,9167,,,9167,,,True,True,RO412
2021-05-15,ROU,Romania,Harghita,46.549997,25.558475,8190,,,8190,,,True,True,RO124
2021-05-15,ROU,Romania,Hunedoara,45.753652,22.938806,22743,,,22743,,,True,True,RO423
2021-05-15,ROU,Romania,Iași,47.221224,27.311502,10691,,,10691,,,True,True,RO213
2021-05-15,ROU,Romania,Ialomița,44.627356,27.256013,42107,,,42107,,,True,True,RO315
2021-05-15,ROU,Romania,Ilfov,44.286638,26.144699,44801,,,44801,,,True,True,RO322
2021-05-15,ROU,Romania,Maramureș,47.671302,23.981463,20260,,,20260,,,True,True,RO114
2021-05-15,ROU,Romania,Mehedinți,44.365324,22.737138,8254,,,8254,,,True,True,RO413
2021-05-15,ROU,Romania,Mureș,46.609503,24.697133,23743,,,23743,,,True,True,RO125
2021-05-15,ROU,Romania,Neamț,46.969735,26.375809,18694,,,18694,,,True,True,RO214
2021-05-15,ROU,Romania,NOT SPECIFIED,,,,29485,,-29485,,,True,True,
2021-05-15,ROU,Romania,Olt,44.272504,24.439351,14459,,,14459,,,True,True,RO414
2021-05-15,ROU,Romania,Prahova,45.114672,26.015788,34798,,,34798,,,True,True,RO316
2021-05-15,ROU,Romania,Sălaj,47.18438,23.106887,10866,,,10866,,,True,True,RO116
2021-05-15,ROU,Romania,Satu Mare,47.705953,22.898922,12912,,,12912,,,True,True,RO115
2021-05-15,ROU,Romania,Sibiu,45.85906,24.245264,26199,,,26199,,,True,True,RO126
2021-05-15,ROU,Romania,Suceava,47.637703,25.82751,24045,,,24045,,,True,True,RO215
2021-05-15,ROU,Romania,Teleorman,44.027822,25.197899,13592,,,13592,,,True,True,RO317
2021-05-15,ROU,Romania,Timiș,45.743832,21.377998,54015,,,54015,,,True,True,RO424
2021-05-15,ROU,Romania,Tulcea,44.986929,28.858105,8317,,,8317,,,True,True,RO225
2021-05-15,ROU,Romania,Vâlcea,45.096033,24.110629,16272,,,16272,,,True,True,RO415
2021-05-15,ROU,Romania,Vaslui,46.526869,27.769395,15855,,,15855,,,True,True,RO216
2021-05-15,ROU,Romania,Vrancea,45.788059,26.980214,10591,,,10591,,,True,True,RO226
2021-05-15,RUS,Russian Fed.,Adygea,44.448835,40.254013,14548,190,14003,355,,,False,False,RU01
2021-05-15,RUS,Russian Fed.,Altai,52.477021,83.868816,50654,2173,45645,2836,,,False,False,RU02
2021-05-15,RUS,Russian Fed.,Altai Republic,,,16875,242,16559,74,,,False,False,
2021-05-15,RUS,Russian Fed.,Amur,53.418482,127.711639,22501,288,21753,460,,,False,False,RU03
2021-05-15,RUS,Russian Fed.,Arkhangelsk,63.448461,43.404188,62760,962,59640,2158,,,False,False,RU04
2021-05-15,RUS,Russian Fed.,Astrakhan,47.116641,47.337406,33540,750,32071,719,,,False,False,RU05
2021-05-15,RUS,Russian Fed.,Bashkortostan,54.282013,56.528301,36768,485,34417,1866,,,False,False,RU06
2021-05-15,RUS,Russian Fed.,Belgorod,50.881793,37.359083,37808,662,35292,1854,,,False,False,RU07
2021-05-15,RUS,Russian Fed.,Bryansk,52.910301,33.406285,39161,313,38278,570,,,False,False,RU08
2021-05-15,RUS,Russian Fed.,Buryatia,54.550455,112.36994,37551,872,36385,294,,,False,False,RU09
2021-05-15,RUS,Russian Fed.,Chechnya,43.26872,45.799182,12140,130,11855,155,,,False,False,RU10
2021-05-15,RUS,Russian Fed.,Chelyabinsk,54.475139,60.413177,60399,1522,56061,2816,,,False,False,RU11
2021-05-15,RUS,Russian Fed.,Chukotka,,,756,7,733,16,,,False,False,RU81
2021-05-15,RUS,Russian Fed.,Chuvashia,55.507419,47.102483,24979,1396,22799,784,,,False,False,RU13
2021-05-15,RUS,Russian Fed.,Dagestan,43.035568,46.873874,32999,1471,30617,911,,,False,False,RU15
2021-05-15,RUS,Russian Fed.,Ingushetia,43.40517,44.8203,15599,188,14173,1238,,,False,False,RU16
2021-05-15,RUS,Russian Fed.,Irkutsk,57.084283,106.290867,68040,2358,64947,735,,,False,False,RU17
2021-05-15,RUS,Russian Fed.,Ivanovo,56.999219,41.726645,35328,1175,33345,808,,,False,False,RU18
